"矫痢","青沥备开(矫焙备)喊","己喊",拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技,81技,82技,83技,84技,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
"2003","傈惫","拌",48308385.5,469760.5,524843.5,598326,629113,630466,657200.5,681163,699951.5,714091.5,715099.5,720442,716225,673101,636361.5,628358,620936,621144,638329,655332,703454.5,784075.5,830046,838046,831435,773672,750102.5,771269,777142.5,826126.5,878837,897534.5,923185,935273,926084,930742.5,900478,845791.5,841514,851443,822706.5,847841,912521,936116,905998,834014,794869.5,754920,730794,689827.5,593264,581036,529337,463859.5,483128,486117,489057.5,443840,375522,369975,387531.5,440579.5,448909.5,387550,375698.5,368072.5,342311,325770.5,314655,296695.5,265202.5,242033.5,218825,198232,190021.5,177149,161062.5,140165,123557.5,112124,107428.5,104579.5,88297,71879,60593,50353,44246.5,38470.5,30284,24150,19843,16141,12538,9209,6865.5,4989,3564.5,2357.5,1520.5,998.5,667,2026
"2003","辑匡漂喊矫","拌",10190690.5,95057,100837.5,111700,115229.5,113979,117967.5,122078,125085.5,128740.5,130281,133007.5,134946,130246,123954,124799,126028.5,126383.5,131552.5,135764,148176,168010.5,182319,190261.5,197385.5,189064.5,186586,196955,200389.5,210293.5,218624,220117.5,222206.5,218086.5,207117.5,198756.5,186754.5,171352.5,168403.5,172252,167892,171093,182617.5,190752.5,189835,179477,175160,168871.5,167122,159437,138696,136952,121964.5,107092,113843,114167.5,115521.5,106389.5,90300,86060,86545.5,95358.5,94324,78621,73027,68976.5,62256,57715.5,54208,49209.5,42640.5,38561.5,34454.5,31155,30158.5,28182,25442.5,22117,19447.5,17813.5,17429.5,16858.5,14362.5,11907,10206,8479,7446,6500.5,5177.5,4204,3456,2743,2166.5,1626.5,1221.5,850,595,382.5,269.5,182.5,115,306
"2003","何魂堡开矫","拌",3710785,28240.5,31724.5,36499,38665.5,39414,41482,44217.5,46482.5,48076,49133.5,50536,51192,48641.5,47336,48068.5,48093,49030,51452.5,54297,59522.5,67062,72938.5,74949,73686.5,66462.5,61753,60036.5,58416.5,60228.5,61807,62091,62941.5,63279,62702.5,63243.5,62361,59279.5,58709.5,59483,59175.5,63839.5,70855,74888,73889.5,69661.5,68660,66831,66694,63665,55036,54174,50841,45307,45685,46087.5,45184.5,39802.5,32683.5,32468,34899.5,37411.5,36761,32317,30603,28392,25631,24032.5,22690.5,21107.5,18574.5,16926,15621,13756.5,12918.5,12345.5,11341,9705,8324.5,7494.5,6844,6433,5420.5,4420,3485,2738.5,2391.5,2065.5,1572.5,1311.5,1107.5,908.5,670.5,468,345,256.5,177.5,109,69,50.5,30,96
"2003","措备堡开矫","拌",2527673.5,22937,25660.5,29660.5,31418,31453.5,33249.5,35367.5,36705.5,37624,37750,38320.5,38866,37298.5,35893.5,35433.5,34647.5,34614.5,35226,35672,38473,43424,46445.5,46840,46057,41796,39709.5,40861,40728.5,42450.5,44215.5,45504.5,46566.5,46875,46816.5,47954.5,47636.5,44789,44328.5,45322,44003.5,45975,49992.5,49995.5,48936,44839,41675.5,40892,39483,36622,32610,32992,30336,26280,26601.5,27143,26170.5,21701.5,17448.5,18241.5,20437.5,22678.5,22149,19062,18512,17841.5,16237,15345,14760,14105,12422,11281,10233,8830.5,8034,7606.5,7203,6140,5389,4886.5,4377.5,4114,3591.5,2923,2441.5,2038,1788,1559,1237,982,751.5,597.5,457,325.5,236.5,186.5,128.5,80.5,53.5,32,20.5,69.5
"2003","牢玫堡开矫","拌",2574091.5,25304.5,28466,32513.5,34366,34800,36690.5,38588,40135,41440,42197,43170,42997,40125.5,37544.5,36470.5,35511,34897,35402,35693,37316.5,40720,42844.5,43191,42511.5,39498,38211.5,38945,39820,42956.5,46238.5,48201.5,49979.5,51071,51400,52499,51597.5,49280,50201.5,51843.5,50333,52114,55340.5,55843,53464.5,48862,45783.5,42001,39580,36469.5,30517.5,29438,25475.5,21470.5,23016,23017.5,23016.5,21229,17736,16657.5,17173,19012.5,18829.5,15927,15219.5,15180,14115,13275,12860,11973.5,10669,9871,8932.5,8251,7928,7347.5,6602.5,5810,5203.5,4874,4667,4397.5,3698.5,3043,2553.5,2081.5,1801,1544.5,1230,925,722.5,598,508,377,282,196,139.5,87.5,45,31.5,22.5,84
"2003","堡林堡开矫","拌",1396607,14989.5,16822.5,19562.5,20652,20775,21810.5,22740.5,23275.5,23653.5,23488.5,23574.5,23352,21935,20452,20050.5,19876.5,19634.5,20150,20905.5,22599.5,25418,26668.5,26463,26380,24568,23719,24120.5,23370,24382,25705.5,25742.5,26401.5,26792,25992,26141.5,25788.5,24552,24621,24054.5,23550,23732.5,24178.5,25618.5,25350,22902.5,21533,19678,18435,17448,14885,14550,13888.5,12792,13395,13174.5,13041.5,12018,10124,9624.5,9327.5,10847.5,11443.5,9450.5,8733.5,8463.5,7936,7243.5,6873,6665.5,5929.5,5201,4710.5,4576.5,4627.5,4175.5,3640.5,3216,2833.5,2481.5,2465,2515,2103,1753.5,1493,1223.5,1065.5,920,733,657.5,543,411.5,317,257.5,198,135.5,99.5,70.5,48,29,26,67.5
"2003","措傈堡开矫","拌",1425934.5,14824,16332.5,18492,19511.5,19795.5,20841,21727,22452.5,22942,22772,22818,22938.5,21758.5,20537,20357,20201,20074.5,20470.5,20663.5,22083,24557,26127,26245,26039,24412,23702.5,23946.5,23715,24942,26692.5,27017.5,27438.5,27687.5,27733.5,28389,27476.5,25140.5,24831.5,25489,24308.5,25273.5,28136.5,28797,27461.5,24812,23678.5,22910,21939,20543.5,17340.5,16160,14610,13160,13581,13156,12683.5,11145,9406,9311,9589,10811.5,10874.5,8830,8503,8533,7837,7438,7118,6686.5,6046,5513,4911.5,4465,4271.5,4013,3780.5,3283,2831,2579.5,2532.5,2440.5,2020.5,1646,1418,1185.5,1047.5,931,762,542.5,430.5,374.5,319,231.5,172,122,83.5,52,31,20.5,16,55
"2003","匡魂堡开矫","拌",1068952,11149.5,12611,14778,15862,16238,17181,17953.5,18548.5,18971,19039,19138.5,18995.5,17664.5,16528,16023.5,15289.5,14975,15066,15324,16012,17287,17971.5,17805.5,17123.5,15701.5,15076.5,15458,15584.5,17034.5,18527.5,19538,20769.5,21647.5,22306.5,23064.5,22933.5,22124.5,22312.5,22244.5,20884.5,21329,22993,23079,21864,20012,18766,17542.5,16751.5,15394.5,13225.5,12550,11273.5,9818.5,9540.5,9313.5,8948.5,7488,5981.5,5863,6243.5,6898,6578.5,5456.5,5280.5,5061,4552,4192.5,3914.5,3742.5,3457.5,3130.5,2803,2493.5,2323.5,2264,2169.5,1865,1619.5,1473.5,1376,1343.5,1112.5,908.5,812,632,580.5,513.5,391.5,323.5,267.5,207.5,149,96.5,77.5,53,38,24,13.5,8,7,20.5
"2003","版扁档","拌",10067162,114241,128613,146932.5,154796.5,154385,160075,164082,167848.5,170980.5,170086,169585.5,166687.5,153549,141332.5,135386.5,128994,124722.5,124507,124339.5,130253.5,142001.5,149411,151602.5,150961,142561,142191,152488,159565.5,175309.5,192438.5,202022,213559.5,220461,221469,223842,215897.5,203287,203542.5,207230.5,197438.5,198691.5,209677,209553,197320.5,178324,165149.5,151243,142411.5,131964,110745.5,106687,92511.5,76619.5,81029.5,81562.5,83826.5,78012.5,67095,64209.5,65333.5,73035,74858,65484,63066,62283,58585,55588,53688.5,50309,44704,40405,36281,32955.5,31734.5,29470.5,26365.5,23075,20427,18539,17851,17205,14518,11860.5,10096.5,8456,7348,6256.5,4927.5,3917,3259.5,2638,2070,1562,1162,826,579,363,231,159.5,111,268.5
"2003","碍盔档","拌",1532877,14060,15978,18021,19058,19277.5,20053.5,20555,20822,21103.5,21138.5,21300.5,21016.5,19913.5,19156,19220.5,19379.5,19650.5,20446.5,21143,22659,25459.5,26456.5,26114.5,25108,23136.5,21891.5,21343,21263,22641.5,24285.5,24467,24785.5,25314.5,25693.5,26466.5,25688.5,24540.5,24269.5,24138.5,24223.5,25796.5,28303.5,29105.5,28406,27021,26363.5,24959.5,23393.5,22174,19226,19471.5,16762.5,12695,13550,14463,15498,14992,14167.5,14604.5,15128,16775.5,17414,16362,16275,15931,14888,14061.5,13287,12027.5,10588.5,9354.5,8489,8282,8250.5,7517,6605.5,5909,5668.5,5361.5,4974,4630.5,3863,3185.5,2838.5,2452,2255.5,1949.5,1501,1182.5,936,747.5,541.5,392,325,230,165,108.5,68,43.5,32,88
