"矫痢","青沥备开(矫焙备)喊","己喊",拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技,81技,82技,83技,84技,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
"2002","傈惫","拌",48125744.5,501475.5,597764,628937,630230,657304,680907.5,700000,714813,715831.5,721311.5,716928.5,673855,637291.5,629202,621662.5,622163,639426.5,656424,704596,784978.5,831611.5,839280.5,833017,775385.5,751860,772913,779268.5,828556.5,881482.5,900478,926183,938553,929343,934233,903800,849096.5,844633,854781.5,826144,851460.5,916255,940282.5,910129,838066,798784,758670,734420,693423,596316,584308,532244,466476.5,486076.5,489083.5,492242,446862,378267.5,372882.5,390808,444631.5,453286,391846,380136.5,372799.5,347219,330826,320011,302234.5,270803.5,247715.5,224509.5,203911.5,196015.5,183462,167546.5,146504,130089.5,118736,114408,112230,95357,78380.5,66710.5,56186.5,49800.5,43855,35033.5,28255.5,23593.5,19476.5,15455.5,11529,8745,6497,4707,3179.5,2087,1409.5,944,678.5,2164
"2002","辑匡漂喊矫","拌",10235315.5,100894.5,115252,118317.5,116365,120089.5,123112,126691.5,129634.5,130766,132990.5,134359,128836.5,124155,124260,125004,127239,132262.5,136533,147663.5,167419,181383.5,187968.5,193086,185038,183724,194245.5,199544.5,212658,223513.5,226414.5,229413.5,224927,213115.5,204019.5,190891,174599.5,170965.5,174470.5,169703,172697,184190,192350,191587,181631,177301,171378,169650,162184.5,141220,139643,124373,109257,116306.5,116749,118211,108977.5,92487.5,88327,88849.5,98137,97047,81080.5,75381.5,71183.5,64251,59524,56006,50830.5,44191,40025,35775.5,32379,31346,29486,26720.5,23233.5,20627,18948,18660,18172.5,15551,13072.5,11192,9568,8400.5,7418.5,5988,4899,4076.5,3334.5,2694,2051.5,1549.5,1102.5,797.5,524.5,356,252,157,112,318.5
"2002","何魂堡开矫","拌",3750330.5,30820,36970.5,39170.5,39895,41906.5,44510,46880.5,48454.5,49452.5,50711,51338,48667,47435.5,48174.5,48119,49231,51658.5,54700.5,60229.5,67933,73752.5,75973,75092,68313,63818.5,62821,61319,63186,64501.5,64278.5,64791.5,64935,64189,64519.5,63434.5,60121.5,59405,60288.5,59833,64517.5,71606.5,75584.5,74710.5,70379.5,69384,67654.5,67521.5,64488.5,55774.5,54885,51579,45927,46407.5,46767,45932.5,40486.5,33277.5,33031,35598,38213,37582,33073,31329,29127,26271.5,24678,23268,21745.5,19144.5,17516.5,16223,14260,13489,12947.5,11903.5,10279,8870,7974.5,7387,6983.5,5945,4856,3915,3082.5,2721,2371.5,1852,1563,1351.5,1105.5,848,592.5,452.5,332.5,236,146.5,94.5,72,46,30,109.5
"2002","措备堡开矫","拌",2525456,24579,29661,31341.5,31391,33123.5,35019,36534.5,37387,37429.5,38009,38387.5,36726.5,35863,35299.5,34512,34832.5,35358,35869.5,38674,43705,46689,47022,46530,42456,40596,41758,42006,43591.5,45081,46126.5,47054,47260.5,47190,48138,47716,44882.5,44346,45350.5,43957,46008,50133.5,50219,49241,45169,42016,41211,39892.5,36995,32899,33389,30690,26575,26900.5,27426,26483,21962.5,17669,18519.5,20724.5,23024,22478,19349,18834.5,18128.5,16523.5,15661,15066,14427,12738.5,11546.5,10546,9089,8290,7926,7509,6448.5,5683,5201,4684.5,4423,3903,3230.5,2710.5,2285,2048.5,1798,1451.5,1158.5,911.5,737.5,574.5,417.5,311,249.5,170,106,71,49,29.5,23,68
"2002","牢玫堡开矫","拌",2571293.5,27220.5,32758.5,34769,35193.5,37240.5,39029,40581,42009,42835.5,43821.5,43620,40768,37932.5,36857.5,35762.5,35152.5,35575.5,35895.5,37441.5,40685.5,42801.5,42670,41815,38836,37400,38238,39142.5,42386.5,45891.5,48152.5,50023,51308,51887,53147,52231,50034,50927,52684,51235.5,52836,56146,56653.5,54298.5,49647,46354,42506.5,39994,36933,30884,29738,25761.5,21677,23273,23242,23253.5,21440.5,17932,16812,17318,19170.5,19044.5,16089,15431.5,15331.5,14337,13466.5,13102,12226,10948,10082,9169.5,8463.5,8238.5,7652,6872,6059,5497.5,5173,4953.5,4738.5,4013.5,3291.5,2814.5,2338.5,2028.5,1774.5,1422.5,1091,852.5,727.5,607.5,481.5,348.5,248,178,123,65,44,31,23.5,84.5
"2002","堡林堡开矫","拌",1390608.5,16135.5,19518.5,20588,20638.5,21656.5,22378.5,23223.5,23573,23281.5,23399,23013,21519,20444.5,19938.5,19772,19822,20187.5,21014.5,22666,25378,26714,26462.5,26582.5,24854.5,24070.5,24728.5,23980.5,24901,26148,26063.5,26565.5,26960.5,26132,26161.5,25884.5,24548.5,24643.5,24099.5,23609.5,23794,24273.5,25718,25553,23089.5,21722.5,19869,18639,17623.5,15081.5,14725.5,14026,12974,13545.5,13335.5,13215,12153,10220.5,9736,9424.5,10978.5,11568,9570.5,8874.5,8605.5,8067,7342,6992,6825.5,6026.5,5325,4843,4702.5,4762,4321,3783,3354,2986,2633,2632.5,2681.5,2264.5,1907.5,1637,1355.5,1178,1052.5,845.5,742.5,662.5,498.5,401.5,314,256.5,181.5,130.5,91.5,66.5,49,32.5,25.5,65
"2002","措傈堡开矫","拌",1411368.5,15538.5,18325.5,19298.5,19583,20620.5,21467,22238.5,22810.5,22634,22720.5,22788,21546,20444,20277.5,20081.5,20156,20530.5,20695.5,21919,24493,25923,26038.5,25684,24180.5,23613.5,24115,23784.5,24948,26639.5,26822,27319.5,27511,27568.5,28272,27198,25087.5,24785,25493.5,24305,25288.5,28185.5,28805,27498,24883.5,23806,23066,22053.5,20670,17501,16277,14730,13273.5,13680,13269.5,12804.5,11208,9505,9373,9645,10892.5,10943,8897.5,8551.5,8604,7931,7545,7183.5,6765,6131,5593.5,5055,4533.5,4387,4140,3927,3422,2958,2702,2666,2635.5,2183.5,1789.5,1547.5,1322.5,1160,1055.5,884.5,640.5,507,458,376.5,292,210.5,160,108,70,42,26,21.5,18.5,53
"2002","匡魂堡开矫","拌",1060327.5,12052,14785.5,15878.5,16245.5,17187,17993.5,18570,19039,19106,19187.5,19025.5,17712,16586,16061.5,15316.5,15074.5,15104.5,15415,16237.5,17465,18113.5,17890.5,17226.5,15647.5,14901.5,15129,15345,16676.5,18218.5,19264,20565.5,21587.5,22210.5,23099,22991.5,22198,22381.5,22330.5,20992.5,21390.5,23017,23209,21994,20179,18857,17664.5,16844.5,15480,13291,12618.5,11315.5,9872.5,9597.5,9366.5,8980.5,7527.5,6023,5899.5,6302.5,6936,6624,5495.5,5315,5094.5,4595,4218,3962.5,3774.5,3519,3185,2854,2531.5,2381,2307.5,2225,1918,1686,1566.5,1451,1414.5,1193.5,961.5,867.5,722,649.5,584.5,451,381.5,328,250,184.5,130.5,98,74,57,32.5,16.5,12.5,9.5,6.5,21.5
"2002","版扁档","拌",9735983.5,118095.5,142495.5,150781.5,151035.5,156930.5,161422,165465.5,169035,168302,168272,165624,153041.5,140338.5,134853.5,128629.5,123236,123226,122253.5,126712.5,137946,143985.5,144370.5,142348.5,133827.5,132568.5,141786,148725.5,164710.5,182012.5,192587.5,204522,212572.5,214847,218039,211512.5,199779,200634.5,204596.5,195432,197117.5,208061.5,208119.5,195810.5,176713,163655.5,149348,140683,129991,108932.5,104847,90767,75108.5,79395.5,79764,81918.5,76312.5,65602.5,62900.5,63918,71444.5,73342.5,64199,61899.5,61306,57872,55034,53207,50000,44507.5,40452,36292.5,33114,32016.5,29773.5,26734,23511.5,20968.5,19186,18594,18020,15336,12622.5,10821,9133,8042.5,6966,5605,4507.5,3754,3099,2457,1883,1425.5,1036,743.5,486,315.5,212,161,96.5,287
"2002","碍盔档","拌",1545563.5,15369,18170,19182,19374,20204.5,20635,20907.5,21238.5,21326,21504.5,21227,20157,19329.5,19456,19662.5,19844.5,20633,21327,23201.5,25967.5,27181.5,27083,26275,24184.5,23079.5,22689.5,22397,23379.5,24872,24907.5,25160.5,25668,25995,26755,25922.5,24803.5,24453.5,24329.5,24422.5,26024.5,28596.5,29408,28695.5,27207,26559.5,25171.5,23519.5,22303.5,19395,19575.5,16834,12776,13599.5,14550,15594,15125,14289.5,14709,15306.5,16914.5,17569.5,16517.5,16473,16159,15120,14317.5,13518,12286,10831.5,9603,8736.5,8567.5,8522,7791,6870.5,6205,6035.5,5686.5,5298.5,5006.5,4189.5,3504.5,3141.5,2768,2504.5,2230,1724,1384,1113.5,904,674.5,490.5,413,309.5,209.5,141.5,89,62.5,43,30,93
