"矫痢","青沥备开(矫焙备)喊","己喊",拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技,81技,82技,83技,84技,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
"2004","傈惫","拌",48485314,460244.5,491437,525609,598517.5,629544,630413,657603.5,681147,699291.5,713359,714386,719735,715670.5,672170.5,635628,627738.5,619973.5,620091,637267.5,654557.5,702669.5,782714.5,829110.5,836679.5,830025,772367.5,748969.5,769599,775306.5,824057,876465,894993.5,920034.5,932032.5,922608,927370.5,897169,842684.5,838096,847841,819177,844220.5,908355,931628.5,901488.5,829937,790985.5,751095,727041,686295,590047,577839,526511,461096,480172,483006.5,485947.5,440754.5,372724,367162,384284.5,436567.5,444370.5,383317.5,371149.5,363279,337508.5,320567.5,309115.5,290720,259512,236233.5,213054.5,192433.5,183777,170629.5,154539.5,133650.5,117116,105525,100440.5,97258,81334.5,65517,54594,44999.5,39023.5,33431.5,25962.5,20338.5,16594.5,13228.5,10090,7231,5309.5,3821,2670,1756,1072.5,697.5,1933.5
"2004","辑匡漂喊矫","拌",10173624,94204,95777.5,98370,109619,113642,112635,117474.5,120959.5,124610,128514.5,130525,133655,136464.5,130040,124624.5,125857,125351.5,125962,131143.5,136831.5,149159.5,169312,184673,194521.5,201233,191888,188818.5,197445,198527.5,206422,213508,214399,216481,212739,202418,194834.5,183565.5,169036,166332.5,170704.5,166311.5,169859,181193,189148.5,187882.5,177548,173061.5,166814,164859.5,157218.5,136520.5,134755.5,120050,105250,111812,112032.5,113477,104338,88504.5,84283.5,84649.5,93214.5,92063.5,76753,71298,67351.5,60793,56194,52824,47780,41455,37391.5,33383.5,30146.5,29033,27062,24383,21076.5,18402.5,16724.5,16308,15740.5,13217.5,10947,9210,7593,6609.5,5651.5,4451,3588.5,2892,2245,1728,1298.5,945,641,441,298.5,198,130.5,313
"2004","何魂堡开矫","拌",3678895,27225,29261.5,31536,36123,38414.5,39142,41380.5,43963.5,46238,47889,48970.5,50477.5,51243,48651,47273.5,48094.5,47935,48826,51027.5,53715.5,58901.5,66511,72162,73661,71816,64418,59241,57425,55934,57989.5,59974.5,60616.5,61563,62093,61657.5,62399.5,61659.5,58607,58065.5,58980.5,58649,63240,70229,74216.5,73166,68954,67853,66070,65911.5,62882,54433,53500,50213.5,44659.5,45020,45433,44505,39187,32139.5,31909,34259,36693.5,36052,31659,29917.5,27765.5,25028.5,23447,22092,20572,18040,16346.5,15079.5,13227.5,12410,11806.5,10798,9162,7865.5,6965,6351.5,5950,4948,3985,3126.5,2401,2109,1774.5,1350.5,1078,919.5,743.5,532,356.5,264.5,202.5,127,81.5,48.5,33.5,92.5
"2004","措备堡开矫","拌",2527128,22273,23903.5,25697,29723.5,31544,31554.5,33585,35561,36894.5,37910,38026.5,38759,39338,37326.5,36019,35481.5,34407,34445,35039.5,35471,38241.5,43240.5,46178.5,46291,45259.5,41010.5,38831,39613.5,39752.5,41588.5,43588.5,44907.5,46012.5,46407.5,46559.5,47821,47478,44734.5,44218,45232,43894,45721,49729.5,49602,48493.5,44422.5,41282,40399.5,39052.5,36200.5,32235.5,32573.5,30023,25980.5,26287,26792,25817,21447.5,17201.5,17980,20186,22312.5,21878.5,18780,18231.5,17527,15927,15052.5,14427.5,13771.5,12171.5,10965,9969,8566,7730.5,7328,6899.5,5850.5,5089,4571,4055,3806,3284,2617,2194.5,1788.5,1558,1333,1054.5,809,624,477,368,248.5,191,139.5,101,64.5,33,21,67.5
"2004","牢玫堡开矫","拌",2574505.5,24467.5,26441,28258,32204,34093.5,34480.5,36425,38348,39712,40953.5,41822,42708,42518.5,39832,37291.5,36320.5,35304.5,34753.5,35164,35423,37194.5,40649,43105,43586.5,42815,39876.5,38501.5,39210.5,39813.5,42945,46249,47932.5,49625,50658,50838,51900,50945.5,48734.5,49537,51102.5,49702.5,51429.5,54532,55040.5,52690.5,48242.5,45273,41477.5,39028.5,36004.5,30161,29098.5,25195,21165.5,22790,22745,22748,21022,17557.5,16540,16973.5,18821.5,18617.5,15763,15042.5,14958.5,13903.5,13027,12611,11684.5,10452,9617.5,8704,7972.5,7653,7098,6327,5551,4929,4597.5,4366,4082.5,3406.5,2755.5,2289,1878,1583.5,1357.5,1040.5,784,601.5,493,401.5,305,225,155.5,102,61.5,32,24.5,74
"2004","堡林堡开矫","拌",1398467,14373,15693,16859.5,19589.5,20750.5,20888,22119,22720,23300,23773,23585,23845,23722.5,21898,20478,20107.5,19640,19552.5,19946.5,20800,22589.5,25261,26449,26074.5,25865.5,23941,22928,23466.5,22750.5,23910,25365,25589.5,26204,26593.5,25883,25992.5,25719,24503.5,24459.5,23893.5,23441.5,23620,24020.5,25358.5,25143.5,22678.5,21260.5,19428.5,18210,17202,14688.5,14363,13719,12614.5,13209,12994.5,12880,11896,10002,9503.5,9213.5,10725,11251,9345.5,8605,8341.5,7858,7101.5,6721.5,6560.5,5831,5067.5,4605,4447.5,4481.5,4029,3494,3095,2696,2332,2306.5,2344.5,1950.5,1614.5,1352.5,1108.5,934,808.5,647,557,446.5,335,250.5,208,143.5,107.5,75,51.5,27,20.5,64.5
"2004","措傈堡开矫","拌",1437883.5,14721,15521,16409.5,18616,19674,19975.5,21074,21873,22530.5,23003,22821,22912,23072.5,21791,20600,20454,20122,20036.5,20403,20751.5,22168.5,24697,26371.5,26540.5,26182,24441.5,23491,23782,23672.5,25023,26821.5,27044.5,27508.5,27862.5,27929.5,28650,27412.5,25146.5,24716.5,25369,24243.5,25196.5,28090,28710.5,27298,24644.5,23541.5,22795.5,21743,20358,17183,16040,14479,13051,13464,13047,12584,11018.5,9337.5,9249.5,9531,10739.5,10811.5,8749,8436.5,8450,7748.5,7340.5,7032,6584,5940.5,5393,4825,4323,4157,3865.5,3647,3148.5,2701,2442.5,2367,2253.5,1870.5,1522.5,1268,1087,928.5,807,647,451,368,319,258.5,183.5,129.5,93,63.5,41.5,26.5,14,53
"2004","匡魂堡开矫","拌",1077160,10883.5,11604.5,12628.5,14747,15819,16197,17135,17920.5,18492,18919,18975,19065,18960,17549,16483.5,15983,15172,14918,15007.5,15019.5,15831.5,17141,17833,17703,17248,15915.5,15455,15802,15954,17299,18786,19748,20828.5,21716,22308,22963,22865.5,22026.5,22210,22077,20777,21254,22876,22892.5,21730,19915,18666,17473.5,16680.5,15333,13153.5,12495,11215.5,9790,9526,9274.5,8910.5,7425.5,5976.5,5851.5,6202.5,6861,6536,5428.5,5254,5012,4541.5,4163.5,3885.5,3686,3426,3101.5,2745.5,2435.5,2288.5,2219,2112,1799,1555,1412,1318.5,1262,1065,858.5,723.5,579,500.5,452,328,269,220.5,165.5,106.5,77.5,51.5,38.5,27.5,14.5,8.5,6,18
"2004","版扁档","拌",10334885.5,113998,122909.5,131411.5,149561,157001.5,156376.5,161737.5,165515,169233.5,172222.5,170888.5,170367,166986.5,154272,141570,135465,130095,125456,125788.5,126666.5,132884,146210.5,155857,158607,158938.5,150738,151295.5,161737.5,168096,183352.5,199787.5,208893.5,219547,225603,225693.5,227213,218828.5,205186,205220.5,208311.5,198389,199579,210232,210233.5,198232,179072.5,166331.5,152258.5,143653.5,133122,111839.5,107831,93584.5,77645.5,82198.5,82828.5,84972,79102,67898,65110,66239.5,73974,75782,66109.5,63535,62664.5,58845,55773,53672,50229.5,44406.5,40149,35982,32505,31255,28858,25781.5,22371,19752.5,17828,16998,16291,13592.5,11039,9307.5,7698,6592,5549,4314.5,3367.5,2790,2218,1731.5,1252,908.5,636,425,271.5,171,111.5,274
"2004","碍盔档","拌",1524204.5,13363,14650.5,15958,17933.5,19076,19220.5,20022,20468,20704.5,20919.5,20963,21083.5,20800,19732,18970,19001,19197.5,19484,20263,20679.5,22314.5,25008.5,25695.5,25316.5,24213,22101.5,20809,20581.5,20684,22222.5,24047.5,24280,24546,25111.5,25556,26325.5,25496.5,24387.5,24135.5,23940.5,24079.5,25562,28090,28855.5,28223,26881,26234.5,24830,23278.5,22061.5,19184,19388.5,16707,12674,13495,14428.5,15362,14922,14087,14502.5,15018.5,16667,17237,16185,16058.5,15697,14608.5,13798,12997,11739,10323.5,9106.5,8210.5,8032,7951,7221.5,6339,5584.5,5361.5,5034.5,4619,4293,3511,2882,2549,2197.5,1984.5,1697.5,1275,975,784.5,606,438,312,246,183.5,122.5,84.5,46.5,32.5,87
